PriceList,Catalog,GradeGroup,Price
EQ3 EXW US V8,30136-15,10,723.0
EQ3 EXW US V8,30136-15,20,763.0
EQ3 EXW US V8,30136-15,30,793.0
EQ3 EXW US V8,30136-15,31,793.0
EQ3 EXW US V8,30136-15,40,823.0
EQ3 EXW US V8,30136-15,50,873.0
EQ3 EXW US V8,30136-15,60,923.0
EQ3 EXW US V8,30136-15,70,973.0
EQ3 EXW US V8,30136-15,F,1573.0
EQ3 EXW US V8,30136-15,I,1723.0
EQ3 EXW US V8,30136-15,41,nan
EQ3 EXW US V8,30136-15,42,nan
EQ3 EXW US V8,30136-16,10,723.0
EQ3 EXW US V8,30136-16,20,763.0
EQ3 EXW US V8,30136-16,30,793.0
EQ3 EXW US V8,30136-16,31,793.0
EQ3 EXW US V8,30136-16,40,823.0
EQ3 EXW US V8,30136-16,50,873.0
EQ3 EXW US V8,30136-16,60,923.0
EQ3 EXW US V8,30136-16,70,973.0
EQ3 EXW US V8,30136-16,F,1573.0
EQ3 EXW US V8,30136-16,I,1723.0
EQ3 EXW US V8,30136-16,41,nan
EQ3 EXW US V8,30136-16,42,nan
EQ3 EXW US V8,30136-19,10,730.0
EQ3 EXW US V8,30136-19,20,770.0
EQ3 EXW US V8,30136-19,30,800.0
EQ3 EXW US V8,30136-19,31,800.0
EQ3 EXW US V8,30136-19,40,830.0
EQ3 EXW US V8,30136-19,50,880.0
EQ3 EXW US V8,30136-19,60,930.0
EQ3 EXW US V8,30136-19,70,980.0
EQ3 EXW US V8,30136-19,F,1580.0
EQ3 EXW US V8,30136-19,I,1730.0
EQ3 EXW US V8,30136-19,41,nan
EQ3 EXW US V8,30136-19,42,nan
EQ3 EXW US V8,30136-20,10,730.0
EQ3 EXW US V8,30136-20,20,770.0
EQ3 EXW US V8,30136-20,30,800.0
EQ3 EXW US V8,30136-20,31,800.0
EQ3 EXW US V8,30136-20,40,830.0
EQ3 EXW US V8,30136-20,50,880.0
EQ3 EXW US V8,30136-20,60,930.0
EQ3 EXW US V8,30136-20,70,980.0
EQ3 EXW US V8,30136-20,F,1580.0
EQ3 EXW US V8,30136-20,I,1730.0
EQ3 EXW US V8,30136-20,41,nan
EQ3 EXW US V8,30136-20,42,nan
EQ3 EXW US V8,30136-35,10,724.0
EQ3 EXW US V8,30136-35,20,764.0
EQ3 EXW US V8,30136-35,30,794.0
EQ3 EXW US V8,30136-35,31,794.0
EQ3 EXW US V8,30136-35,40,824.0
EQ3 EXW US V8,30136-35,50,874.0
EQ3 EXW US V8,30136-35,60,924.0
EQ3 EXW US V8,30136-35,70,974.0
EQ3 EXW US V8,30136-35,F,1404.0
EQ3 EXW US V8,30136-35,I,1524.0
EQ3 EXW US V8,30136-35,41,nan
EQ3 EXW US V8,30136-35,42,nan
EQ3 EXW US V8,30136-36,10,724.0
EQ3 EXW US V8,30136-36,20,764.0
EQ3 EXW US V8,30136-36,30,794.0
EQ3 EXW US V8,30136-36,31,794.0
EQ3 EXW US V8,30136-36,40,824.0
EQ3 EXW US V8,30136-36,50,874.0
EQ3 EXW US V8,30136-36,60,924.0
EQ3 EXW US V8,30136-36,70,974.0
EQ3 EXW US V8,30136-36,F,1404.0
EQ3 EXW US V8,30136-36,I,1524.0
EQ3 EXW US V8,30136-36,41,nan
EQ3 EXW US V8,30136-36,42,nan
EQ3 EXW US V8,30136-41,10,66.0
EQ3 EXW US V8,30136-41,20,71.0
EQ3 EXW US V8,30136-41,30,76.0
EQ3 EXW US V8,30136-41,31,76.0
EQ3 EXW US V8,30136-41,40,81.0
EQ3 EXW US V8,30136-41,50,91.0
EQ3 EXW US V8,30136-41,60,101.0
EQ3 EXW US V8,30136-41,70,106.0
EQ3 EXW US V8,30136-41,F,236.0
EQ3 EXW US V8,30136-41,I,266.0
EQ3 EXW US V8,30136-41,41,nan
EQ3 EXW US V8,30136-41,42,nan
EQ3 EXW US V8,30136-64,10,230.0
EQ3 EXW US V8,30136-64,20,250.0
EQ3 EXW US V8,30136-64,30,265.0
EQ3 EXW US V8,30136-64,31,265.0
EQ3 EXW US V8,30136-64,40,285.0
EQ3 EXW US V8,30136-64,50,305.0
EQ3 EXW US V8,30136-64,60,325.0
EQ3 EXW US V8,30136-64,70,345.0
EQ3 EXW US V8,30136-64,F,505.0
EQ3 EXW US V8,30136-64,I,565.0
EQ3 EXW US V8,30136-64,41,230.0
EQ3 EXW US V8,30136-64,42,250.0
EQ3 EXW US V8,30136-71,10,411.0
EQ3 EXW US V8,30136-71,20,431.0
EQ3 EXW US V8,30136-71,30,446.0
EQ3 EXW US V8,30136-71,31,446.0
EQ3 EXW US V8,30136-71,40,466.0
EQ3 EXW US V8,30136-71,50,486.0
EQ3 EXW US V8,30136-71,60,506.0
EQ3 EXW US V8,30136-71,70,526.0
EQ3 EXW US V8,30136-71,F,751.0
EQ3 EXW US V8,30136-71,I,901.0
EQ3 EXW US V8,30136-71,41,nan
EQ3 EXW US V8,30136-71,42,nan
EQ3 EXW US V8,30136-74,10,207.0
EQ3 EXW US V8,30136-74,20,227.0
EQ3 EXW US V8,30136-74,30,242.0
EQ3 EXW US V8,30136-74,31,242.0
EQ3 EXW US V8,30136-74,40,262.0
EQ3 EXW US V8,30136-74,50,282.0
EQ3 EXW US V8,30136-74,60,302.0
EQ3 EXW US V8,30136-74,70,322.0
EQ3 EXW US V8,30136-74,F,482.0
EQ3 EXW US V8,30136-74,I,542.0
EQ3 EXW US V8,30136-74,41,262.0
EQ3 EXW US V8,30136-74,42,282.0
EQ3 EXW US V8,30137-01,10,1000.0
EQ3 EXW US V8,30137-01,20,1040.0
EQ3 EXW US V8,30137-01,30,1070.0
EQ3 EXW US V8,30137-01,31,1070.0
EQ3 EXW US V8,30137-01,40,1100.0
EQ3 EXW US V8,30137-01,50,1150.0
EQ3 EXW US V8,30137-01,60,1200.0
EQ3 EXW US V8,30137-01,70,1250.0
EQ3 EXW US V8,30137-01,F,1850.0
EQ3 EXW US V8,30137-01,I,2000.0
EQ3 EXW US V8,30137-01,41,nan
EQ3 EXW US V8,30137-01,42,nan
EQ3 EXW US V8,30137-03,10,959.0
EQ3 EXW US V8,30137-03,20,999.0
EQ3 EXW US V8,30137-03,30,1029.0
EQ3 EXW US V8,30137-03,31,1029.0
EQ3 EXW US V8,30137-03,40,1059.0
EQ3 EXW US V8,30137-03,50,1109.0
EQ3 EXW US V8,30137-03,60,1159.0
EQ3 EXW US V8,30137-03,70,1209.0
EQ3 EXW US V8,30137-03,F,1809.0
EQ3 EXW US V8,30137-03,I,1959.0
EQ3 EXW US V8,30137-03,41,nan
EQ3 EXW US V8,30137-03,42,nan
EQ3 EXW US V8,30137-06,10,686.0
EQ3 EXW US V8,30137-06,20,706.0
EQ3 EXW US V8,30137-06,30,721.0
EQ3 EXW US V8,30137-06,31,721.0
EQ3 EXW US V8,30137-06,40,741.0
EQ3 EXW US V8,30137-06,50,761.0
EQ3 EXW US V8,30137-06,60,781.0
EQ3 EXW US V8,30137-06,70,801.0
EQ3 EXW US V8,30137-06,F,-64.0
EQ3 EXW US V8,30137-06,I,86.0
EQ3 EXW US V8,30137-06,41,nan
EQ3 EXW US V8,30137-06,42,nan
EQ3 EXW US V8,30137-07,10,817.0
EQ3 EXW US V8,30137-07,20,857.0
EQ3 EXW US V8,30137-07,30,887.0
EQ3 EXW US V8,30137-07,31,887.0
EQ3 EXW US V8,30137-07,40,917.0
EQ3 EXW US V8,30137-07,50,967.0
EQ3 EXW US V8,30137-07,60,1017.0
EQ3 EXW US V8,30137-07,70,1067.0
EQ3 EXW US V8,30137-07,F,1667.0
EQ3 EXW US V8,30137-07,I,1817.0
EQ3 EXW US V8,30137-07,41,nan
EQ3 EXW US V8,30137-07,42,nan
EQ3 EXW US V8,30137-08,10,817.0
EQ3 EXW US V8,30137-08,20,857.0
EQ3 EXW US V8,30137-08,30,887.0
EQ3 EXW US V8,30137-08,31,887.0
EQ3 EXW US V8,30137-08,40,917.0
EQ3 EXW US V8,30137-08,50,967.0
EQ3 EXW US V8,30137-08,60,1017.0
EQ3 EXW US V8,30137-08,70,1067.0
EQ3 EXW US V8,30137-08,F,1667.0
EQ3 EXW US V8,30137-08,I,1817.0
EQ3 EXW US V8,30137-08,41,nan
EQ3 EXW US V8,30137-08,42,nan
EQ3 EXW US V8,30137-09,10,507.0
EQ3 EXW US V8,30137-09,20,527.0
EQ3 EXW US V8,30137-09,30,542.0
EQ3 EXW US V8,30137-09,31,542.0
EQ3 EXW US V8,30137-09,40,577.0
EQ3 EXW US V8,30137-09,50,612.0
EQ3 EXW US V8,30137-09,60,647.0
EQ3 EXW US V8,30137-09,70,682.0
EQ3 EXW US V8,30137-09,F,1102.0
EQ3 EXW US V8,30137-09,I,1207.0
EQ3 EXW US V8,30137-09,41,nan
EQ3 EXW US V8,30137-09,42,nan
EQ3 EXW US V8,30137-10,10,361.0
EQ3 EXW US V8,30137-10,20,381.0
EQ3 EXW US V8,30137-10,30,396.0
EQ3 EXW US V8,30137-10,31,396.0
EQ3 EXW US V8,30137-10,40,416.0
EQ3 EXW US V8,30137-10,50,436.0
EQ3 EXW US V8,30137-10,60,456.0
EQ3 EXW US V8,30137-10,70,476.0
EQ3 EXW US V8,30137-10,F,701.0
EQ3 EXW US V8,30137-10,I,761.0
EQ3 EXW US V8,30137-10,41,nan
EQ3 EXW US V8,30137-10,42,nan
EQ3 EXW US V8,30137-11,10,454.0
EQ3 EXW US V8,30137-11,20,474.0
EQ3 EXW US V8,30137-11,30,489.0
EQ3 EXW US V8,30137-11,31,489.0
EQ3 EXW US V8,30137-11,40,524.0
EQ3 EXW US V8,30137-11,50,559.0
EQ3 EXW US V8,30137-11,60,594.0
EQ3 EXW US V8,30137-11,70,629.0
EQ3 EXW US V8,30137-11,F,1049.0
EQ3 EXW US V8,30137-11,I,1154.0
EQ3 EXW US V8,30137-11,41,nan
EQ3 EXW US V8,30137-11,42,nan
EQ3 EXW US V8,30137-12,10,454.0
EQ3 EXW US V8,30137-12,20,474.0
EQ3 EXW US V8,30137-12,30,489.0
EQ3 EXW US V8,30137-12,31,489.0
EQ3 EXW US V8,30137-12,40,524.0
EQ3 EXW US V8,30137-12,50,559.0
EQ3 EXW US V8,30137-12,60,594.0
EQ3 EXW US V8,30137-12,70,629.0
EQ3 EXW US V8,30137-12,F,1049.0
EQ3 EXW US V8,30137-12,I,1154.0
EQ3 EXW US V8,30137-12,41,nan
EQ3 EXW US V8,30137-12,42,nan
EQ3 EXW US V8,30137-14,10,724.0
EQ3 EXW US V8,30137-14,20,744.0
EQ3 EXW US V8,30137-14,30,759.0
EQ3 EXW US V8,30137-14,31,759.0
EQ3 EXW US V8,30137-14,40,774.0
EQ3 EXW US V8,30137-14,50,794.0
EQ3 EXW US V8,30137-14,60,814.0
EQ3 EXW US V8,30137-14,70,834.0
EQ3 EXW US V8,30137-14,F,1404.0
EQ3 EXW US V8,30137-14,I,1524.0
EQ3 EXW US V8,30137-14,41,nan
EQ3 EXW US V8,30137-14,42,nan
EQ3 EXW US V8,30137-15,10,723.0
EQ3 EXW US V8,30137-15,20,763.0
EQ3 EXW US V8,30137-15,30,793.0
