30137-08,37137-08,941.0,981.0,1011.0,1011.0,1041.0,1091.0,1141.0,1191.0,1791.0,1941.0,,,1541.0,1541.0,1581.0,1631.0,1631.0,1676.0,1721.0,1766.0,1766.0,1811.0,1861.0,2216.0
30137-09,37137-09,619.0,639.0,654.0,654.0,689.0,724.0,759.0,794.0,1214.0,1319.0,,,869.0,869.0,909.0,959.0,959.0,1004.0,1049.0,1094.0,1094.0,1139.0,1169.0,1319.0
30137-10,37137-10,472.0,492.0,507.0,507.0,527.0,547.0,567.0,587.0,812.0,872.0,,,797.0,797.0,837.0,887.0,887.0,932.0,977.0,1022.0,1022.0,1067.0,1097.0,1247.0
30137-11,37137-11,567.0,587.0,602.0,602.0,637.0,672.0,707.0,742.0,1162.0,1267.0,,,942.0,942.0,982.0,1032.0,1032.0,1077.0,1122.0,1167.0,1167.0,1212.0,1242.0,1392.0
30137-12,37137-12,567.0,587.0,602.0,602.0,637.0,672.0,707.0,742.0,1162.0,1267.0,,,942.0,942.0,982.0,1032.0,1032.0,1077.0,1122.0,1167.0,1167.0,1212.0,1242.0,1392.0
30137-14,37137-14,845.0,865.0,880.0,880.0,895.0,915.0,935.0,955.0,1525.0,1645.0,,,1395.0,1395.0,1435.0,1485.0,1485.0,1530.0,1575.0,1620.0,1620.0,1665.0,1715.0,2070.0
30137-15,37137-15,845.0,885.0,915.0,915.0,945.0,995.0,1045.0,1095.0,1695.0,1845.0,,,1345.0,1345.0,1385.0,1435.0,1435.0,1480.0,1525.0,1570.0,1570.0,1615.0,1665.0,2020.0
30137-16,37137-16,845.0,885.0,915.0,915.0,945.0,995.0,1045.0,1095.0,1695.0,1845.0,,,1345.0,1345.0,1385.0,1435.0,1435.0,1480.0,1525.0,1570.0,1570.0,1615.0,1665.0,2020.0
30137-19,37137-19,843.0,883.0,913.0,913.0,943.0,993.0,1043.0,1093.0,1693.0,1843.0,,,1343.0,1343.0,1383.0,1433.0,1433.0,1478.0,1523.0,1568.0,1568.0,1613.0,1663.0,2018.0
30137-20,37137-20,843.0,883.0,913.0,913.0,943.0,993.0,1043.0,1093.0,1693.0,1843.0,,,1343.0,1343.0,1383.0,1433.0,1433.0,1478.0,1523.0,1568.0,1568.0,1613.0,1663.0,2018.0
30137-35,37137-35,845.0,885.0,915.0,915.0,945.0,995.0,1045.0,1095.0,1525.0,1645.0,,,1345.0,1345.0,1385.0,1435.0,1435.0,1480.0,1525.0,1570.0,1570.0,1615.0,1665.0,2020.0
30137-36,37137-36,845.0,885.0,915.0,915.0,945.0,995.0,1045.0,1095.0,1525.0,1645.0,,,1345.0,1345.0,1385.0,1435.0,1435.0,1480.0,1525.0,1570.0,1570.0,1615.0,1665.0,2020.0
30137-41,37137-41,97.0,102.0,107.0,107.0,112.0,122.0,132.0,137.0,267.0,297.0,,,122.0,122.0,127.0,132.0,132.0,137.0,147.0,157.0,157.0,167.0,172.0,207.0
30137-64,37137-64,282.0,302.0,317.0,317.0,337.0,357.0,377.0,397.0,557.0,617.0,272.0,292.0,432.0,432.0,452.0,467.0,467.0,482.0,492.0,502.0,502.0,512.0,522.0,652.0
30137-71,37137-71,522.0,542.0,557.0,557.0,577.0,597.0,617.0,637.0,862.0,922.0,,,847.0,847.0,887.0,937.0,937.0,982.0,1027.0,1072.0,1072.0,1117.0,1137.0,1522.0
30137-74,37137-74,304.0,324.0,339.0,339.0,359.0,379.0,399.0,419.0,579.0,639.0,314.0,334.0,454.0,454.0,474.0,489.0,489.0,504.0,514.0,524.0,524.0,534.0,544.0,674.0
30192-01,37192-01,1279.0,1319.0,1349.0,1349.0,1379.0,1429.0,1479.0,1529.0,2129.0,2279.0,,,1879.0,1879.0,1919.0,1969.0,1969.0,2014.0,2059.0,2104.0,2104.0,2149.0,2199.0,2689.0
30192-03,37192-03,1235.0,1275.0,1305.0,1305.0,1335.0,1385.0,1435.0,1485.0,2085.0,2235.0,,,1835.0,1835.0,1875.0,1925.0,1925.0,1970.0,2015.0,2060.0,2060.0,2105.0,2155.0,2510.0
