PriceList,Catalog,GradeGroup,Price
UFCA 1711E V5,30136-16,40,1000.0
UFCA 1711E V5,30136-16,50,1050.0
UFCA 1711E V5,30136-16,60,1100.0
UFCA 1711E V5,30136-16,70,1150.0
UFCA 1711E V5,30136-16,F,1750.0
UFCA 1711E V5,30136-16,I,1900.0
UFCA 1711E V5,30136-16,41,nan
UFCA 1711E V5,30136-16,42,nan
UFCA 1711E V5,30136-19,10,900.0
UFCA 1711E V5,30136-19,20,940.0
UFCA 1711E V5,30136-19,30,970.0
UFCA 1711E V5,30136-19,40,1000.0
UFCA 1711E V5,30136-19,50,1050.0
UFCA 1711E V5,30136-19,60,1100.0
UFCA 1711E V5,30136-19,70,1150.0
UFCA 1711E V5,30136-19,F,1750.0
UFCA 1711E V5,30136-19,I,1900.0
UFCA 1711E V5,30136-19,41,nan
UFCA 1711E V5,30136-19,42,nan
UFCA 1711E V5,30136-20,10,900.0
UFCA 1711E V5,30136-20,20,940.0
UFCA 1711E V5,30136-20,30,970.0
UFCA 1711E V5,30136-20,40,1000.0
UFCA 1711E V5,30136-20,50,1050.0
UFCA 1711E V5,30136-20,60,1100.0
UFCA 1711E V5,30136-20,70,1150.0
UFCA 1711E V5,30136-20,F,1750.0
UFCA 1711E V5,30136-20,I,1900.0
UFCA 1711E V5,30136-20,41,nan
UFCA 1711E V5,30136-20,42,nan
UFCA 1711E V5,30136-35,10,900.0
UFCA 1711E V5,30136-35,20,940.0
UFCA 1711E V5,30136-35,30,970.0
UFCA 1711E V5,30136-35,40,1000.0
UFCA 1711E V5,30136-35,50,1050.0
UFCA 1711E V5,30136-35,60,1100.0
UFCA 1711E V5,30136-35,70,1150.0
UFCA 1711E V5,30136-35,F,1580.0
UFCA 1711E V5,30136-35,I,1700.0
UFCA 1711E V5,30136-35,41,nan
UFCA 1711E V5,30136-35,42,nan
UFCA 1711E V5,30136-36,10,900.0
UFCA 1711E V5,30136-36,20,940.0
UFCA 1711E V5,30136-36,30,970.0
UFCA 1711E V5,30136-36,40,1000.0
UFCA 1711E V5,30136-36,50,1050.0
UFCA 1711E V5,30136-36,60,1100.0
UFCA 1711E V5,30136-36,70,1150.0
UFCA 1711E V5,30136-36,F,1580.0
UFCA 1711E V5,30136-36,I,1700.0
UFCA 1711E V5,30136-36,41,nan
UFCA 1711E V5,30136-36,42,nan
UFCA 1711E V5,30136-41,10,100.0
UFCA 1711E V5,30136-41,20,105.0
UFCA 1711E V5,30136-41,30,110.0
UFCA 1711E V5,30136-41,40,115.0
UFCA 1711E V5,30136-41,50,125.0
UFCA 1711E V5,30136-41,60,135.0
UFCA 1711E V5,30136-41,70,140.0
UFCA 1711E V5,30136-41,F,270.0
UFCA 1711E V5,30136-41,I,300.0
UFCA 1711E V5,30136-41,41,nan
UFCA 1711E V5,30136-41,42,nan
UFCA 1711E V5,30136-64,10,300.0
UFCA 1711E V5,30136-64,20,320.0
UFCA 1711E V5,30136-64,30,335.0
UFCA 1711E V5,30136-64,40,355.0
UFCA 1711E V5,30136-64,50,375.0
UFCA 1711E V5,30136-64,60,395.0
UFCA 1711E V5,30136-64,70,415.0
UFCA 1711E V5,30136-64,F,575.0
UFCA 1711E V5,30136-64,I,635.0
UFCA 1711E V5,30136-64,41,290.0
UFCA 1711E V5,30136-64,42,310.0
UFCA 1711E V5,30136-71,10,550.0
UFCA 1711E V5,30136-71,20,570.0
UFCA 1711E V5,30136-71,30,585.0
UFCA 1711E V5,30136-71,40,605.0
UFCA 1711E V5,30136-71,50,625.0
UFCA 1711E V5,30136-71,60,645.0
UFCA 1711E V5,30136-71,70,665.0
UFCA 1711E V5,30136-71,F,890.0
UFCA 1711E V5,30136-71,I,950.0
UFCA 1711E V5,30136-71,41,nan
UFCA 1711E V5,30136-71,42,nan
UFCA 1711E V5,30136-74,10,325.0
UFCA 1711E V5,30136-74,20,345.0
UFCA 1711E V5,30136-74,30,360.0
UFCA 1711E V5,30136-74,40,380.0
UFCA 1711E V5,30136-74,50,400.0
UFCA 1711E V5,30136-74,60,420.0
UFCA 1711E V5,30136-74,70,440.0
UFCA 1711E V5,30136-74,F,600.0
UFCA 1711E V5,30136-74,I,660.0
UFCA 1711E V5,30136-74,41,335.0
UFCA 1711E V5,30136-74,42,355.0
UFCA 1711E V5,30137-01,10,1200.0
UFCA 1711E V5,30137-01,20,1240.0
UFCA 1711E V5,30137-01,30,1270.0
UFCA 1711E V5,30137-01,40,1300.0
UFCA 1711E V5,30137-01,50,1350.0
UFCA 1711E V5,30137-01,60,1400.0
UFCA 1711E V5,30137-01,70,1450.0
UFCA 1711E V5,30137-01,F,2050.0
UFCA 1711E V5,30137-01,I,2200.0
UFCA 1711E V5,30137-01,41,nan
UFCA 1711E V5,30137-01,42,nan
UFCA 1711E V5,30137-03,10,1150.0
UFCA 1711E V5,30137-03,20,1190.0
